Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount,StyleGroup
Saison,134,3.79,1.056,1.012,5.73,26.51,9.94,4.73,60,,70.0,,0,0,,,,,Belgian
American IPA,7,24.61,1.058,1.015,5.73,42.52,5.6,28.39,60,1.05,65.0,1.5,0,0,,,,,IPA
Saison,134,18.93,1.055,1.014,5.43,16.73,2.84,15.14,60,1.069,70.0,,0,2,,,Sugar,3/4 cup,Belgian
Imperial IPA,86,20.82,1.075,1.019,7.89,97.11,11.3,28.39,75,1.055,70.0,1.33,0,0,0.35,18.33,,,IPA
Strong Scotch Ale,160,18.93,1.066,1.019,6.18,19.0,19.42,13.25,60,,70.0,,0,1,,,,,Scotch Ale
Belgian Dark Strong Ale,21,19.0,1.096,1.01,11.3,27.0,20.93,22.0,90,1.062,74.0,2.75,0,0,0.75,22.0,,,Belgian
American IPA,7,20.0,1.059,1.01,6.45,32.49,6.76,25.0,60,1.047,70.0,,0,0,,19.0,,,IPA
Light American Lager,100,18.93,1.04,1.009,4.11,16.34,2.1,5.68,60,1.134,50.0,,0,1,,18.33,,,Lager
American Amber Ale,4,20.82,1.06,1.017,5.63,27.73,8.87,11.36,50,,30.0,,0,1,,,Dextrose,3/4 Cup,Amber Ale
Saison,134,18.93,1.062,1.007,7.2,0.0,13.0,24.68,60,,72.0,,0,0,,,,,Belgian
Oatmeal Stout,114,20.82,1.069,1.02,6.39,34.93,40.0,28.39,60,1.051,70.0,1.25,0,0,0.35,20.0,,,Porter & Stout
Saison,134,45.42,1.051,1.012,5.19,32.59,5.63,53.0,60,1.044,65.0,,0,0,0.75,21.11,,,Belgian
American Pale Ale,10,18.93,1.053,1.015,5.03,44.04,3.59,22.71,60,,72.0,,0,0,,,,,Pale Ale
Weizen/Weissbier,170,45.42,1.051,1.012,5.13,8.74,3.66,53.0,90,,72.0,,0,0,,,,,Wheat Beer
American IPA,7,22.71,1.058,1.009,6.42,39.52,3.69,27.44,60,1.048,78.0,1.33,0,0,0.35,18.33,,,IPA
American IPA,7,20.82,1.066,1.018,6.24,68.07,11.58,26.5,60,1.052,77.0,1.25,0,0,,,,,IPA
American Wheat or Rye Beer,15,19.87,1.057,1.014,5.64,28.66,6.38,13.25,60,1.085,70.0,,0,2,0.75,20.0,Corn Sugar,,Wheat Beer
Vienna Lager,167,5.0,1.06,1.017,5.65,34.79,11.92,7.0,60,1.043,57.0,,0,0,,19.0,,,Lager
German Pilsner (Pils),81,20.0,1.048,1.01,4.97,36.19,2.77,25.0,90,1.038,73.0,,0,0,,10.0,,,Lager
Belgian Golden Strong Ale,23,53.0,1.075,1.009,8.59,71.69,6.78,53.0,90,1.075,77.0,,0,0,1.25,26.67,,,Belgian
American IPA,7,40.0,1.065,1.012,6.88,65.04,6.75,50.0,60,1.052,70.0,,0,0,,18.0,Sukkerlake,120g,IPA
Special/Best/Premium Bitter,144,20.82,1.052,1.015,4.8,31.71,13.23,27.44,60,,75.0,,0,0,,,,,Bitter
American IPA,7,20.82,1.064,1.018,6.03,70.74,9.01,13.25,60,1.1,70.0,,0,2,0.75,20.0,Corn Sugar,,IPA
Experimental Beer,67,20.82,1.083,1.023,7.86,54.32,6.53,15.14,60,1.114,75.0,,0,2,0.75,21.11,Corn Sugar,,Specialty
