Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount,StyleGroup
Standard/Ordinary Bitter,157,88.0,1.041,1.008,4.28,25.87,5.55,28.5,60,1.127,70.0,2.5,0,0,0.75,19.0,,,Bitter
American Light Lager,9,20.82,1.068,1.016,6.79,20.83,19.92,24.61,60,1.057,70.0,1.5,0,0,,,,,Lager
American IPA,7,22.0,1.068,1.017,6.68,0.0,7.89,35.0,90,1.043,68.0,,0,3,,,,,IPA
Blonde Ale,30,18.93,1.073,1.02,7.0,0.0,5.11,28.39,60,1.049,70.0,1.0,0,0,,,,,Pale Ale
Imperial Stout,87,18.93,1.102,1.029,9.53,45.02,37.97,11.36,60,1.169,35.0,,0,1,1.25,20.0,,,Porter & Stout
Belgian Dubbel,22,22.71,1.07,1.018,6.88,20.9,17.48,28.39,90,1.056,70.0,1.5,0,0,,21.11,,,Belgian
Kölsch,94,24.0,1.043,1.007,4.72,11.15,4.63,6.0,90,1.172,50.0,,0,2,,25.0,,,Hybrid Ale
American IPA,7,22.71,1.06,1.014,6.11,66.59,3.93,30.28,60,1.045,72.0,1.25,0,0,0.5,18.33,,,IPA
American Light Lager,9,20.82,1.052,1.013,5.11,22.79,6.02,11.36,60,1.095,35.0,,0,1,,,,,Lager
American Pale Ale,10,22.0,1.046,1.011,4.61,40.66,5.25,8.0,60,1.083,70.0,,0,2,,20.0,,,Pale Ale
American Porter,11,20.82,1.048,1.008,5.13,46.83,29.71,11.36,60,1.087,60.0,,0,2,,18.89,,,Porter & Stout
Belgian Tripel,26,20.82,1.082,1.016,8.68,40.56,4.76,11.36,90,1.15,35.0,,0,1,0.35,,,,Belgian
American Light Lager,9,9.46,1.056,1.014,5.55,0.0,5.68,28.39,60,1.019,55.0,,0,3,,,,,Lager
American Wheat Beer,14,20.82,1.053,1.012,5.33,25.18,3.98,24.61,60,1.044,75.0,1.5,0,0,,,,,Wheat Beer
American Pale Ale,10,18.0,1.056,1.014,5.5,33.87,8.56,25.0,60,1.04,70.0,3.0,0,0,,,,,Pale Ale
American Light Lager,9,20.0,1.053,1.01,5.53,0.0,5.24,23.0,60,1.046,80.0,3.0,0,0,,19.0,,,Lager
American Amber Ale,4,50.0,1.058,1.011,6.17,37.34,8.21,70.0,60,1.041,80.0,3.0,0,0,0.75,20.0,,,Amber Ale
Saison,134,18.93,1.058,1.008,6.5,29.9,5.27,24.61,60,1.045,70.0,1.5,0,0,0.35,22.78,,,Belgian
Witbier,175,20.82,1.056,1.013,5.56,15.71,5.49,28.39,60,1.041,75.0,,0,3,0.35,22.22,,,Belgian
Saison,134,20.82,1.051,1.009,5.57,26.38,3.33,28.39,60,1.038,70.0,,0,3,0.75,16.67,,,Belgian
Winter Seasonal Beer,174,7.57,1.064,1.021,5.71,29.07,24.74,12.68,60,1.038,75.0,2.0,0,0,,,,,Spiced/Seasonal
English Porter,66,38.0,1.057,1.016,5.34,19.3,28.66,47.0,90,1.046,80.0,1.87,0,0,,19.0,,,Porter & Stout
Specialty IPA: Rye IPA,151,20.82,1.063,1.014,6.42,93.92,7.86,28.39,60,1.046,70.0,,0,3,0.35,20.0,,,IPA
Ordinary Bitter,118,20.82,1.037,1.009,3.69,20.88,9.68,28.39,60,1.027,70.0,1.5,0,0,0.5,24.44,,,Bitter
Belgian Blond Ale,20,18.93,1.061,1.013,6.3,38.09,4.28,26.5,60,1.043,35.0,,0,1,,,,,Belgian
American IPA,7,90.0,1.041,1.009,4.29,44.99,4.88,97.0,60,1.038,70.0,2.5,0,0,0.75,18.0,,,IPA
American IPA,7,39.75,1.058,1.01,6.29,46.76,6.79,43.53,60,1.053,70.0,1.25,0,0,1.0,18.33,,,IPA
American IPA,7,25.0,1.02,1.003,2.21,35.58,4.28,30.0,60,1.017,35.0,3.5,0,0,,22.0,,,IPA
Saison,134,29.0,1.049,1.008,5.4,28.68,4.71,29.0,90,1.049,71.0,,0,3,,,,,Belgian
Belgian Dubbel,22,24.0,1.063,1.011,6.8,20.91,13.1,28.0,60,1.054,75.0,3.0,0,0,,,,,Belgian
Belgian Tripel,26,22.71,1.078,1.015,8.19,35.13,4.98,11.36,60,1.156,35.0,,0,1,,20.0,,,Belgian
American Light Lager,9,21.0,1.056,1.014,5.5,0.0,18.01,11.0,60,1.107,75.0,,0,2,,,,,Lager
American Amber Ale,4,20.0,1.047,1.011,4.75,34.76,11.86,10.0,60,1.094,50.0,,0,1,,77.0,Quick prime in keg with bottle,,Amber Ale
American IPA,7,20.82,1.064,1.015,6.52,69.13,14.29,28.39,90,1.047,80.0,1.72,0,0,0.35,21.11,,,IPA
Best Bitter,28,18.93,1.044,1.013,4.08,34.55,11.57,27.63,70,1.03,70.0,,0,3,0.5,17.78,,,Bitter
American Pale Ale,10,18.93,1.06,1.017,5.74,34.98,9.3,21.96,60,1.052,70.0,1.5,0,0,,18.33,,,Pale Ale
Weissbier,169,20.82,1.072,1.017,7.21,15.52,6.32,28.39,60,1.053,60.0,1.5,0,0,0.75,17.78,,,Wheat Beer
American Pale Ale,10,18.93,1.061,1.014,6.13,45.05,5.24,11.36,60,1.102,35.0,,0,1,,18.33,,,Pale Ale
Strong Bitter,159,21.0,1.057,1.011,6.02,38.32,5.92,28.5,60,1.042,75.0,3.0,0,0,,20.0,,,Bitter
American Pale Ale,10,18.93,1.071,1.017,7.09,74.36,9.62,26.5,60,1.051,75.0,1.3,0,0,0.35,21.11,,,Pale Ale
English Barleywine,63,12.0,1.129,1.034,12.52,59.4,14.98,24.0,180,1.065,70.0,3.0,0,0,1.0,17.0,,,Barleywine
American Amber Ale,4,22.0,1.052,1.01,5.51,57.06,28.51,28.0,60,1.041,70.0,3.0,0,0,0.35,18.0,,,Amber Ale
American Pale Ale,10,69.0,1.047,1.008,5.04,33.11,9.52,75.0,60,1.043,90.0,2.5,0,0,0.75,18.0,,,Pale Ale
American IPA,7,23.0,1.058,1.013,5.93,55.55,6.66,28.5,60,1.047,85.0,,0,0,,22.0,,,IPA
International Amber Lager,88,20.0,1.052,1.012,5.23,10.48,6.12,27.0,60,1.038,65.0,4.2,0,0,,10.0,,,Lager
American IPA,7,102.21,1.074,1.02,7.2,67.3,4.39,113.56,60,1.067,80.0,1.25,0,0,0.5,22.22,,,IPA
American Stout,12,7.57,1.066,1.01,7.32,0.0,50.0,7.57,30,1.066,50.0,,0,1,,18.33,,,Porter & Stout
Weissbier,169,71.0,12.1703,2.84367,4.98,13.5,5.07,80.0,60,10.9,80.0,3.0,1,0,0.75,22.0,,,Wheat Beer
American Pale Ale,10,18.93,1.051,1.013,5.06,70.51,6.88,9.46,60,1.057,75.0,,0,1,,,,,Pale Ale
American IPA,7,14.5,1.043,1.007,4.72,47.69,10.66,18.0,60,1.035,85.0,,0,3,,18.0,,,IPA
Weissbier,169,40.0,1.068,1.006,8.08,17.69,5.39,45.0,60,1.06,75.0,3.0,0,0,1.0,18.0,,,Wheat Beer
American Pale Ale,10,12.0,10.958,2.47987,4.51,42.96,5.07,14.0,60,9.4,70.0,5.2,1,0,,12.0,,,Pale Ale
Cream Ale,45,704.09,1.056,1.015,5.43,16.29,5.92,707.87,60,1.056,75.0,1.5,0,0,,,,,Ale
Best Bitter,28,17.0,1.051,1.016,4.58,32.06,12.22,17.0,60,1.051,68.0,,0,3,,18.5,,,Bitter
Bohemian Pilsener,31,50.0,1.068,1.015,6.97,32.86,7.69,60.0,60,1.057,75.0,3.0,0,0,,10.0,,,Lager
Cream Ale,45,11.36,1.068,1.019,6.38,24.76,3.88,7.57,60,1.092,50.0,,0,2,0.35,20.0,,,Ale
Weizen/Weissbier,170,21.0,1.051,1.013,4.98,6.17,4.39,26.0,90,1.041,65.0,,0,3,0.35,19.0,,,Wheat Beer
Belgian Pale Ale,24,18.93,1.067,1.013,7.12,21.92,11.71,9.46,60,1.134,35.0,,0,1,,23.89,White Sugar,94g,Belgian
Blonde Ale,30,15.0,1.051,1.01,5.42,20.17,5.37,15.0,60,1.051,25.0,,0,1,0.75,22.0,,,Pale Ale
German Pilsner (Pils),81,47.0,1.046,1.007,5.14,18.05,6.97,63.0,90,1.034,58.0,3.0,0,0,0.35,18.0,,,Lager
Scottish Export,136,20.82,1.058,1.017,5.45,18.38,20.83,28.39,90,1.043,75.0,1.5,0,0,,,,,Scotch Ale
American IPA,7,19.0,1.066,1.014,6.88,58.34,10.87,11.0,60,1.114,35.0,,0,1,0.35,20.0,,,IPA
Saison,134,1100.0,1.053,1.007,6.06,32.81,3.75,1150.0,60,1.051,75.0,3.0,0,0,0.75,85.0,,,Belgian
English Porter,66,20.82,1.053,1.012,5.37,45.03,45.51,27.44,60,1.041,67.0,1.33,0,0,,,,,Porter & Stout
Munich Helles,109,19.31,1.048,1.01,5.09,17.36,3.17,22.71,75,1.041,81.0,,0,3,1.5,11.11,,,Lager
American IPA,7,20.82,1.063,1.014,6.35,56.17,17.52,25.55,60,1.051,70.0,1.5,0,0,,,,,IPA
Robust Porter,129,20.82,1.073,1.019,7.19,30.19,36.91,25.55,60,1.06,75.0,,0,3,,18.33,,,Porter & Stout
American IPA,7,9.46,1.066,1.017,6.42,82.11,6.81,13.25,70,1.047,66.0,,0,3,0.35,20.0,CO2,,IPA
Weizen/Weissbier,170,9.46,1.021,1.004,2.26,20.78,2.22,14.01,60,1.014,70.0,,0,3,0.5,22.78,,,Wheat Beer
American IPA,7,20.82,1.075,1.017,7.63,101.79,6.96,28.39,60,1.055,70.0,,0,0,1.0,,,,IPA
Dry Stout,58,23.09,1.077,1.018,7.69,98.57,31.63,27.25,60,1.065,70.0,1.5,0,0,1.0,20.0,,,Porter & Stout
Weissbier,169,21.0,1.054,1.012,5.44,12.93,3.21,28.5,90,1.04,75.0,,0,3,1.0,26.0,,,Wheat Beer
Saison,134,10.0,1.062,1.016,6.05,34.95,7.98,13.0,60,1.048,62.0,,0,3,0.35,20.0,,,Belgian
American IPA,7,20.82,1.06,1.011,6.38,62.96,5.2,26.5,60,1.047,70.0,,0,3,,19.44,CO2,,IPA
American IPA,7,41.64,1.044,1.011,4.38,0.0,6.29,56.78,90,1.032,72.0,1.3,0,0,1.25,18.33,,,IPA
Witbier,175,28.0,1.048,1.007,5.46,16.46,4.21,44.5,60,1.03,68.0,,0,3,,,,,Belgian
American Amber Ale,4,11.36,1.066,1.015,6.65,70.59,18.07,15.14,60,1.049,75.0,,0,0,0.35,21.11,,,Amber Ale
Weizen/Weissbier,170,20.82,1.044,1.008,4.72,16.43,5.97,11.36,60,1.081,35.0,,0,2,0.5,20.0,,,Wheat Beer
Weissbier,169,50.0,1.055,1.015,5.28,14.85,3.78,56.0,60,1.049,75.0,2.5,0,0,0.75,23.0,,,Wheat Beer
American IPA,7,20.82,1.061,1.019,5.5,71.29,6.39,28.39,60,1.045,70.0,1.5,0,0,,18.33,,,IPA
American IPA,7,19.0,1.088,1.018,9.24,228.32,9.81,30.0,90,1.056,75.0,2.5,0,0,,20.0,,,IPA
American Pale Ale,10,45.0,1.052,1.01,5.51,63.81,4.23,60.0,60,1.037,80.0,2.5,0,0,0.35,20.0,,,Pale Ale
American Light Lager,9,20.82,1.067,1.007,7.77,46.08,18.17,28.39,60,1.049,35.0,,0,3,0.35,23.33,,,Lager
American Pale Ale,10,20.82,1.053,1.012,5.38,37.65,4.06,28.39,90,1.039,72.0,1.5,0,0,1.0,17.78,,,Pale Ale
Cream Ale,45,18.93,1.055,1.012,5.65,17.96,4.84,32.18,75,1.032,70.0,1.5,0,0,,17.78,CO_2 tank  forced carbonation,---,Ale
American IPA,7,100.0,1.064,1.016,6.23,62.52,7.19,120.0,60,1.053,85.0,3.0,0,0,,18.0,,,IPA
American IPA,7,6.0,1.056,1.01,5.96,72.89,6.83,9.0,60,1.037,70.0,3.33,0,0,0.75,20.0,,,IPA
American Pale Ale,10,20.82,1.062,1.016,6.12,49.17,9.74,28.39,60,1.046,70.0,1.4,0,0,,,,,Pale Ale
American IPA,7,23.0,1.048,1.009,5.18,44.15,5.56,28.0,60,1.04,70.0,3.0,0,0,,20.0,,,IPA
American IPA,7,23.28,1.048,1.009,5.12,42.63,6.73,25.55,60,1.044,65.0,1.25,0,0,,18.33,,,IPA
Belgian Pale Ale,24,13.0,1.06,1.016,5.68,28.59,14.78,19.0,60,1.041,77.0,3.0,0,0,,21.0,,,Belgian
German Pils,80,20.82,1.044,1.006,4.98,28.1,3.35,28.39,90,1.032,70.0,1.2,0,0,1.5,8.33,,,Lager
American Pale Ale,10,23.0,1.046,1.013,4.37,112.99,7.67,28.5,60,1.037,70.0,3.0,0,0,,18.0,,,Pale Ale
American Pale Ale,10,21.0,1.054,1.008,6.04,38.08,7.99,13.0,60,1.087,68.7,,0,2,,,,,Pale Ale
Cream Ale,45,19.87,1.073,1.015,7.54,36.88,4.2,26.5,90,1.055,68.0,1.25,0,0,,18.89,,,Ale
American Pale Ale,10,18.93,1.045,1.009,4.74,84.64,3.13,11.36,30,1.047,35.0,,0,1,0.75,23.33,,,Pale Ale
Fruit Beer,75,21.0,1.036,1.005,4.02,31.2,3.88,28.5,90,1.026,35.0,,0,0,,20.0,,,Fruit/Spiced
Extra Special/Strong Bitter (ESB),68,20.82,1.056,1.014,5.51,37.63,16.46,28.39,60,1.041,60.0,1.23,0,0,0.75,18.33,Corn Sugar,,Bitter
Old Ale,116,20.82,1.077,1.021,7.39,63.46,17.29,28.39,60,1.057,72.0,1.5,0,0,2.0,20.0,,,Strong Ale
Autumn Seasonal Beer,18,11.36,1.06,1.017,5.59,49.19,8.09,18.93,60,1.036,70.0,,0,3,,,,,Spiced/Seasonal
American Porter,11,20.82,1.073,1.02,7.01,41.17,34.89,26.5,60,1.058,63.0,,0,3,,20.0,,,Porter & Stout
Oatmeal Stout,114,20.82,1.063,1.019,5.8,47.58,40.93,28.39,60,1.047,55.0,,0,3,,,,,Porter & Stout
Robust Porter,129,25.0,1.067,1.015,6.76,20.16,29.89,30.0,90,1.055,72.0,2.5,0,0,0.75,18.0,,,Porter & Stout
Irish Red Ale,92,18.93,1.074,1.016,7.56,71.73,11.07,28.39,60,1.049,70.0,1.5,0,0,0.75,20.0,,,Amber Ale
Cream Ale,45,20.82,1.056,1.007,6.45,16.37,3.63,28.39,60,1.041,75.0,,0,3,,20.56,,,Ale
Specialty IPA: Belgian IPA,147,25.0,1.066,1.017,6.42,53.19,3.96,30.0,90,1.055,75.0,3.0,0,0,,18.0,,,IPA
American IPA,7,20.82,1.064,1.012,6.85,128.93,7.74,9.46,60,1.142,35.0,,0,1,0.5,19.44,keg,,IPA
Bohemian Pilsener,31,9.0,1.061,1.013,6.19,42.89,5.82,14.0,60,1.039,75.0,5.2,0,0,,14.0,,,Lager
American Pale Ale,10,26.0,1.045,1.01,4.62,48.22,6.44,30.0,75,1.039,75.0,,0,3,,,,,Pale Ale
American Pale Ale,10,9.0,1.06,1.013,6.18,42.68,11.99,12.0,60,1.045,70.0,4.0,0,0,,20.0,,,Pale Ale
American Pale Ale,10,21.0,1.056,1.01,5.95,36.08,5.47,28.0,75,1.042,67.0,3.0,0,0,0.5,20.0,,,Pale Ale
Dunkles Weissbier,61,25.0,1.047,1.011,4.69,16.13,13.83,28.0,60,1.042,60.0,3.0,0,0,0.5,20.0,,,Wheat Beer
American Stout,12,20.82,1.064,1.022,5.56,29.16,38.37,24.61,60,1.054,88.0,1.5,0,0,0.75,20.56,,,Porter & Stout
Southern English Brown,143,20.82,12.9692,3.89667,4.88,19.46,25.2,24.61,60,11.0,66.0,1.5,1,0,1.0,20.0,,,Brown Ale
American Wheat Beer,14,39.75,1.042,1.011,4.06,26.48,3.37,49.21,60,1.034,70.0,1.5,0,0,0.5,18.33,Keg,,Wheat Beer
American IPA,7,23.0,1.069,1.012,7.52,43.09,7.91,28.0,60,1.057,80.0,,0,3,,19.0,,,IPA
American IPA,7,18.93,1.068,1.017,6.76,87.14,4.79,25.36,60,1.051,67.0,1.25,0,0,0.75,18.89,,,IPA
American Pale Ale,10,20.82,1.067,1.015,6.92,41.97,6.66,28.39,60,1.049,75.0,1.5,0,0,1.0,22.22,,,Pale Ale
American IPA,7,25.0,1.057,1.01,6.2,61.74,9.08,34.0,60,1.042,75.0,,0,3,0.35,18.0,,,IPA
American IPA,7,18.93,1.051,1.009,5.55,33.98,7.84,26.5,60,1.037,70.0,,0,3,0.35,21.11,,,IPA
American IPA,7,41.64,1.062,1.016,6.05,44.38,6.73,49.21,75,1.053,65.0,1.5,0,0,0.35,20.0,,,IPA
Saison,134,10.0,1.044,1.007,4.81,20.68,4.24,15.0,60,1.029,70.0,3.0,0,0,,,,,Belgian
American Pale Ale,10,24.0,1.042,1.009,4.2,0.0,5.16,28.5,90,1.035,77.0,3.0,0,0,,20.0,,,Pale Ale
American Light Lager,9,20.82,1.051,1.013,5.01,9.0,2.85,28.39,90,1.037,75.0,1.5,0,0,1.5,12.78,,,Lager
American Pale Ale,10,40.0,1.046,1.009,4.92,16.78,3.7,50.0,60,1.037,60.0,6.0,0,0,0.35,,,,Pale Ale
California Common Beer,39,21.0,1.061,1.009,6.79,51.03,11.87,26.5,60,1.048,70.0,3.0,0,0,,14.0,,,Hybrid Lager
American Light Lager,9,18.93,1.056,1.014,5.55,0.0,19.64,24.61,60,1.043,35.0,1.5,0,0,,,,,Lager
Saison,134,22.0,1.054,1.014,5.35,20.07,6.22,28.5,60,1.041,62.0,3.0,0,0,,,,,Belgian
Weissbier,169,25.0,1.046,1.005,5.38,8.55,3.92,28.5,60,1.041,50.0,,0,3,0.75,24.0,Corn Starch,170,Wheat Beer
American Pale Ale,10,20.82,1.056,1.012,5.75,40.22,12.99,13.25,60,1.088,70.0,,0,2,,,Priming & cane sugar,1.5 oz & 2.5 oz,Pale Ale
American IPA,7,22.71,1.061,1.012,6.37,73.95,9.06,27.63,60,1.05,73.0,1.5,0,0,,21.11,,,IPA
American Pale Ale,10,22.71,1.055,1.014,5.41,50.91,4.48,30.28,60,1.041,70.0,1.3,0,0,0.75,19.44,,,Pale Ale
American Pale Ale,10,175.0,1.061,1.01,6.71,11.25,8.23,205.0,75,1.052,70.0,2.8,0,0,0.75,17.0,,,Pale Ale
Sweet Stout,162,19.0,1.048,1.014,4.47,29.62,35.96,26.5,90,1.034,70.0,3.0,0,0,0.35,21.0,,,Porter & Stout
American Light Lager,9,2.01,1.032,1.007,3.24,0.0,3.19,2.0,15,1.032,35.0,,0,1,,,,,Lager
Bohemian Pilsener,31,18.93,1.045,1.011,4.43,0.0,3.08,26.5,90,1.032,74.0,1.5,0,0,,,,,Lager
Dunkles Weissbier,61,20.82,1.054,1.014,5.14,9.13,17.06,27.25,60,1.041,60.0,1.5,0,0,,,,,Wheat Beer
Spice  Herb  or Vegetable Beer,155,8.52,1.051,1.011,5.18,25.65,16.84,10.79,60,1.031,75.0,,0,3,0.75,18.89,,,Fruit/Spiced
American Pale Ale,10,12.0,1.055,1.011,5.84,47.57,5.8,15.0,60,1.044,60.0,3.0,0,0,0.5,21.0,,,Pale Ale
Imperial IPA,86,22.71,1.093,1.022,9.27,112.71,11.49,32.18,60,1.065,75.0,1.5,0,0,1.0,18.33,,,IPA
American Pale Ale,10,18.93,1.053,1.013,5.25,42.56,9.21,15.14,60,1.056,25.0,,0,1,0.35,18.33,,,Pale Ale
American Light Lager,9,20.82,1.02,1.005,2.0,19.07,2.4,28.39,60,1.015,70.0,,0,3,,,,,Lager
American IPA,7,20.82,1.051,1.01,5.43,88.72,13.83,28.39,60,1.037,55.0,1.5,0,0,,40.56,,,IPA
English IPA,65,23.0,1.062,1.017,5.83,55.22,9.25,27.0,70,1.053,75.0,3.0,0,0,,22.0,,,IPA
Specialty IPA: White IPA,152,18.93,1.063,1.016,6.17,75.32,8.41,11.36,60,1.104,35.0,,0,2,1.25,20.0,,,IPA
Blonde Ale,30,18.93,1.059,1.012,6.14,74.52,6.42,22.71,60,1.049,35.0,,0,1,,20.0,,,Pale Ale
Märzen,102,22.71,1.058,1.009,6.49,23.81,12.95,31.49,90,1.042,68.0,1.5,0,0,1.75,8.89,,,Lager
American Pale Ale,10,18.0,1.051,1.013,5.06,50.64,10.44,20.0,60,1.046,70.0,4.0,0,0,,18.0,,,Pale Ale
American Light Lager,9,35.0,1.039,1.01,3.83,2.43,3.57,42.0,60,1.032,75.0,,0,2,,,,,Lager
American Brown Ale,6,18.93,1.068,1.022,6.09,31.48,21.47,22.71,60,1.057,73.0,,0,3,,,,,Brown Ale
American Stout,12,24.61,1.074,1.021,6.96,59.13,50.0,32.18,60,1.056,70.0,1.5,0,0,,18.89,,,Porter & Stout
American Amber Ale,4,18.93,1.058,1.011,6.16,19.7,12.12,11.36,60,1.097,50.0,,0,1,0.35,18.33,,,Amber Ale
American Amber Ale,4,15.0,1.084,1.014,9.18,40.45,11.77,27.0,90,1.047,60.0,,0,3,,20.0,,,Amber Ale
Oatmeal Stout,114,20.82,1.048,1.013,4.56,25.63,25.92,24.61,60,1.041,70.0,1.75,0,0,0.5,17.78,,,Porter & Stout
American IPA,7,20.82,1.062,1.016,6.12,75.25,6.9,28.39,60,1.046,60.0,,0,3,,,,,IPA
American IPA,7,20.82,1.05,1.009,5.42,30.63,10.25,26.5,60,1.039,70.0,,0,3,,22.22,,,IPA
Weissbier,169,22.71,1.053,1.012,5.3,12.31,3.59,28.39,60,1.042,70.0,1.5,0,0,0.5,22.22,,,Wheat Beer
Irish Red Ale,92,20.82,1.061,1.017,5.71,15.19,22.93,28.39,60,1.045,75.0,1.5,0,0,,21.11,,,Amber Ale
Ordinary Bitter,118,22.0,1.046,1.011,4.61,38.13,7.91,28.5,60,1.035,75.0,3.0,0,0,0.35,20.0,,,Bitter
Imperial Stout,87,18.93,1.1,1.025,9.83,106.1,50.0,22.71,60,1.083,65.0,1.25,0,0,,,,,Porter & Stout
American IPA,7,18.93,1.061,1.016,5.96,34.79,3.71,11.36,60,1.102,35.0,,0,1,0.35,21.11,,,IPA
Blonde Ale,30,20.82,1.049,1.011,4.88,22.88,4.13,28.39,60,1.036,82.0,,0,3,0.5,15.56,,,Pale Ale
Experimental Beer,67,11.0,1.049,1.009,5.24,129.35,5.42,17.8,80,1.03,68.0,4.8,0,0,1.0,20.0,,,Specialty
Doppelbock,54,20.82,1.08,1.022,7.64,24.76,20.97,28.39,60,1.059,75.0,,0,0,2.0,11.11,,,Bock
American Light Lager,9,20.82,1.044,1.007,4.76,18.65,4.9,28.39,60,1.032,70.0,3.5,0,0,,20.56,,,Lager
Spice  Herb  or Vegetable Beer,155,18.93,1.076,1.024,6.82,35.19,41.49,28.39,60,1.045,65.0,,0,3,1.25,18.33,Bottle/Keg,,Fruit/Spiced
American Light Lager,9,20.82,1.052,1.012,5.18,87.18,7.83,28.39,90,1.038,60.0,1.5,0,0,,20.0,,,Lager
American Porter,11,3.79,1.082,1.016,8.76,42.04,34.79,7.57,60,1.041,85.0,1.5,0,0,,23.89,Carbonation Drops,1 per 12 oz. bottle,Porter & Stout
Dunkles Weissbier,61,30.0,1.062,1.009,6.96,15.82,18.96,38.0,90,1.049,60.0,4.2,0,0,0.75,17.0,,,Wheat Beer
American Pale Ale,10,45.42,1.058,1.014,5.68,0.0,8.75,45.42,60,1.058,70.0,1.5,0,0,,,,,Pale Ale
Best Bitter,28,21.0,1.04,1.008,4.24,42.92,5.88,7.0,70,1.039,70.0,,0,3,0.35,18.0,,,Bitter
American Lager,8,42.0,1.044,1.007,4.85,31.95,3.41,50.0,60,1.037,67.0,3.0,0,0,,,,,Lager
American Amber Ale,4,21.0,1.053,1.013,5.26,58.91,15.69,28.5,60,1.039,62.0,4.0,0,0,,20.0,,,Amber Ale
Saison,134,18.93,1.043,1.003,5.25,15.26,5.77,15.14,60,1.054,70.0,,0,2,,21.11,,,Belgian
Specialty IPA: Red IPA,150,20.0,1.065,1.015,6.57,74.93,19.19,29.0,60,1.045,75.0,4.5,0,0,,18.0,,,IPA
American IPA,7,67.19,1.062,1.013,6.48,57.24,3.57,75.71,60,1.046,70.0,1.25,0,0,0.5,18.33,,,IPA
American Pale Ale,10,20.82,1.06,1.01,6.6,76.57,4.27,28.39,60,1.044,75.0,,0,3,0.35,20.0,,,Pale Ale
Oatmeal Stout,114,20.82,1.058,1.016,5.55,47.84,29.22,28.39,60,1.043,72.0,1.5,0,0,0.5,17.78,bottle condition,1 cup corn sugar,Porter & Stout
American IPA,7,20.82,1.066,1.013,7.01,64.92,6.02,28.39,60,1.048,70.0,1.5,0,0,0.75,18.33,,,IPA
Strong Bitter,159,5.0,1.054,1.011,5.59,40.02,15.75,5.0,60,1.054,75.0,,0,3,0.35,18.0,,,Bitter
Oatmeal Stout,114,18.93,1.056,1.02,4.78,24.15,29.78,31.53,75,1.034,65.0,1.33,0,0,0.75,20.0,,,Porter & Stout
Weizen/Weissbier,170,20.82,1.057,1.014,5.74,13.91,3.64,28.39,90,1.042,75.0,1.5,0,0,0.75,16.67,,,Wheat Beer
Kölsch,94,23.0,1.048,1.011,4.85,24.01,4.49,16.0,60,1.069,60.0,,0,3,1.75,15.0,,,Hybrid Ale
Dunkles Weissbier,61,11.36,1.051,1.013,4.93,13.69,20.77,17.03,60,1.034,65.0,,0,3,0.5,21.11,,,Wheat Beer
Specialty IPA: Black IPA,148,20.82,1.067,1.015,6.82,118.48,22.02,30.28,75,1.046,70.0,1.25,0,0,0.5,20.0,,,IPA
Spice  Herb  or Vegetable Beer,155,13.0,1.06,1.018,5.47,0.0,10.39,19.0,60,1.041,74.0,2.5,0,0,,21.0,,,Fruit/Spiced
Robust Porter,129,25.0,1.059,1.012,6.16,43.87,23.2,30.0,60,1.049,78.0,3.3,0,0,,,,,Porter & Stout
Best Bitter,28,20.82,1.045,1.011,4.5,24.72,8.52,28.39,60,1.033,72.0,1.25,0,0,0.75,18.33,,,Bitter
English IPA,65,10.0,1.069,1.019,6.56,73.46,9.24,13.0,60,1.053,70.0,3.0,0,0,,20.0,,,IPA
American Porter,11,25.0,1.058,1.02,5.01,31.15,25.01,31.5,90,1.046,78.0,3.0,0,0,0.75,18.0,,,Porter & Stout
American Light Lager,9,41.64,1.047,1.011,4.8,11.71,2.92,47.32,60,1.042,70.0,1.5,0,0,1.5,,,,Lager
American IPA,7,18.93,1.05,1.009,5.29,87.22,8.85,22.71,60,1.041,35.0,,0,1,,15.56,,,IPA
Irish Red Ale,92,3.79,1.042,1.007,4.54,20.73,14.0,3.79,60,1.042,35.0,,0,0,,18.89,,,Amber Ale
Czech Pale Lager,49,25.0,1.051,1.011,5.31,28.0,3.39,30.0,90,1.043,70.0,3.5,0,0,1.75,12.0,Keg,4C: 12PSI / 12C: 20PSI,Lager
Belgian Tripel,26,22.0,1.085,1.017,8.94,28.41,10.65,29.0,60,1.065,65.0,3.0,0,0,1.0,20.0,,,Belgian
American Strong Ale,13,22.71,1.086,1.02,8.71,55.37,19.99,41.64,60,1.047,60.0,1.25,0,0,1.25,,,,Strong Ale
American Barleywine,5,20.82,1.093,1.019,9.75,85.69,16.58,28.39,60,1.069,70.0,,0,3,,,,,Barleywine
American Wheat Beer,14,20.82,1.054,1.012,5.46,23.05,3.9,28.39,60,1.039,65.0,1.3,0,0,0.75,20.56,corn sugar,,Wheat Beer
Irish Red Ale,92,20.0,1.05,1.01,5.28,25.01,14.16,30.0,60,1.033,66.0,3.0,0,0,,18.0,sugar,,Amber Ale
Russian Imperial Stout,132,20.82,1.09,1.017,9.52,53.9,35.43,28.39,60,1.066,80.0,1.5,0,0,1.0,20.0,,,Porter & Stout
Blonde Ale,30,22.71,1.051,1.013,4.87,37.32,5.39,26.5,60,1.043,75.0,1.5,0,0,,,,,Pale Ale
